test3.csv
kernel;c;tolerance;jakosc zbiory testowego (MOC);jakosc zbioru testowego(AllvsOne);
rbf;5;0.001;86.0;81.0;
rbf;10;0.0001;89.0;80.0;
linear;5;0.0001;62.0;67.0;
linear;10;0.0001;62.0;70.0;
poly;5;0.001;72.0;66.0;
poly;10;0.0001;75.0;68.0;
sigmoid;5;0.0001;52.0;66.0;
sigmoid;10;0.0001;47.0;61.0;
test33.csv
kernel;c;tolerance;jakosc zbiory testowego (MOC);jakosc zbioru testowego(AllvsOne);
rbf;5;0.001;90.0;79.0;
rbf;10;0.0001;91.0;79.0;
linear;5;0.0001;71.0;74.0;
linear;10;0.0001;70.0;71.0;
poly;5;0.001;72.0;68.0;
poly;10;0.0001;73.0;72.0;
sigmoid;5;0.0001;48.0;68.0;
sigmoid;10;0.0001;45.0;62.0;
test4.csv
kernel;c;tolerance;jakosc zbiory testowego (MOC);jakosc zbioru testowego(AllvsOne);
rbf;5;0.001;42.0;0.0;
rbf;10;0.0001;45.0;0.0;
linear;5;0.0001;28.0;0.0;
linear;10;0.0001;29.0;0.0;
poly;5;0.001;36.0;0.0;
poly;10;0.0001;38.0;0.0;
sigmoid;5;0.0001;23.0;0.0;
sigmoid;10;0.0001;26.0;1.0;
